class_id,predictions_0.5,predictions_0.55,predictions_0.6,predictions_0.65,predictions_0.7,predictions_0.75,predictions_0.8,predictions_0.85,predictions_0.9,predictions_0.95
1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NULL,NULL,NULL
8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NULL,NULL,NULL
11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
16,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
19,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
23,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
29,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,NULL,NULL,NULL
30,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
31,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
32,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
33,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
34,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
35,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
36,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
40,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
41,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
43,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
44,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
46,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
47,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
48,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
49,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
52,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
53,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
