class_id,predictions_0.01,predictions_0.5,predictions_0.55,predictions_0.6,predictions_0.65,predictions_0.7,predictions_0.75,predictions_0.8,predictions_0.85,predictions_0.9,predictions_0.95
37703,0,0,0,0,0,0,0,0,0,0,0
37704,-1,-1,-1,-1,-1,-1,-1,-1,-1,NULL,NULL
37705,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
37706,1,1,1,1,1,1,1,1,1,1,1
37707,0,0,0,0,0,0,0,0,0,0,0
37708,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
37709,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
37711,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
37713,0,0,0,0,0,0,0,0,0,0,0
37714,1,1,1,1,1,1,1,1,1,1,1
37715,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
37716,0,0,0,0,0,0,0,0,0,0,0
37717,0,0,0,0,0,0,0,0,0,NULL,NULL
37718,0,0,0,0,0,0,0,0,0,0,0
37719,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
37720,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
37721,0,0,0,0,0,0,0,0,0,0,0
37723,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
37724,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
37725,0,0,0,0,0,0,0,0,0,0,0
37726,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
37727,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
37741,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
37742,0,0,0,0,0,0,0,0,0,NULL,NULL
37743,0,0,0,0,0,0,0,0,0,0,NULL
37745,0,0,0,0,0,0,0,0,0,NULL,NULL
37746,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NULL
37747,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL
