class_id,predictions_0.01,predictions_0.5,predictions_0.55,predictions_0.6,predictions_0.65,predictions_0.7,predictions_0.75,predictions_0.8,predictions_0.85,predictions_0.9,predictions_0.95
80848,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
80849,-1,-1,-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
80850,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL
80851,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
80852,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
80854,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
80855,0,0,0,0,0,0,0,0,0,0,NULL
80856,0,0,0,0,0,0,0,0,0,NULL,NULL
80857,0,0,0,0,0,0,0,0,0,0,NULL
80859,1,1,1,1,1,1,1,1,NULL,NULL,NULL
80860,0,0,0,0,0,0,0,0,0,0,0
80861,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
80862,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
80863,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
80864,0,0,0,0,0,0,0,0,0,NULL,NULL
80866,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
80867,0,0,0,0,0,0,0,0,0,NULL,NULL
80868,0,0,0,0,0,0,0,0,0,0,0
80869,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL
80870,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL
80871,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL
80872,0,0,0,0,0,0,0,0,0,NULL,NULL
80873,-1,-1,-1,-1,-1,-1,NULL,NULL,NULL,NULL,NULL
80874,0,0,0,0,0,0,0,0,0,0,NULL
80875,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL
80876,0,0,0,0,0,0,0,0,0,0,0
80877,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
80878,0,0,0,0,0,0,0,0,0,NULL,NULL
80879,0,0,0,0,0,0,0,0,0,0,0
80880,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
80881,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
80884,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
80886,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
80887,-1,-1,-1,-1,-1,-1,-1,NULL,NULL,NULL,NULL
80888,-1,-1,-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
80889,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
80891,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
80892,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
80893,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
80895,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
80896,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
80897,-1,-1,-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
80898,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
80899,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
80900,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
80902,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
80903,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
80904,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
80905,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
80906,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
80907,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL
80908,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
80909,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
80912,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
80914,1,1,1,1,1,NULL,NULL,NULL,NULL,NULL,NULL
80915,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
80916,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
80917,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL
80918,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
80920,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
80921,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
80922,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
80924,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL
80925,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
80927,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
80928,0,0,0,0,0,0,0,0,0,0,0
80929,0,0,0,0,0,0,0,0,0,NULL,NULL
80930,1,1,1,1,1,1,1,1,1,NULL,NULL
80931,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
80932,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
80933,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
80934,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
80935,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
80936,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
80938,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
80939,0,0,0,0,0,0,0,0,NULL,NULL,NULL
80940,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
80941,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
80942,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
80943,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
80944,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
80945,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NULL
80946,0,0,0,0,0,0,0,0,0,0,0
80947,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
80948,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
80949,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL
80950,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
80951,0,0,0,0,0,0,0,0,0,NULL,NULL
80952,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL
80953,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
80954,0,0,0,0,0,0,0,0,0,0,0
80956,0,0,0,0,0,0,0,0,0,NULL,NULL
80957,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
80958,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL
80959,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
80960,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NULL
80961,0,0,0,0,0,0,0,0,0,0,0
80962,-1,-1,-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
80963,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
80964,0,0,0,0,0,0,0,0,0,0,0
80965,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
80966,0,0,0,0,0,0,0,0,NULL,NULL,NULL
80967,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
80970,-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
80971,1,1,1,1,1,1,1,1,1,1,1
80972,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
80973,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
80974,-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
80975,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
80976,0,0,0,0,0,0,0,0,0,NULL,NULL
80977,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
80978,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
80979,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL
80981,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
80983,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
80984,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
80985,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
80986,-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
80987,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
80988,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
80989,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
80993,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
80994,-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
80998,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
81001,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL
81002,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
81003,0,0,0,0,0,0,0,0,0,0,0
81004,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
81005,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
81008,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
81010,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
81013,1,1,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
81014,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
81015,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
81016,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
81017,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
81018,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
81019,0,0,0,0,0,0,0,0,0,0,0
81020,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
81021,1,1,1,1,1,1,1,1,1,1,1
81022,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL
81023,0,0,0,0,0,0,0,0,0,NULL,NULL
81024,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL
81025,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL
81026,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
81027,1,1,1,1,1,1,1,1,1,1,NULL
81028,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
81029,0,0,0,0,0,0,0,0,NULL,NULL,NULL
81030,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
81031,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL
81032,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
81033,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
81034,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
81035,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
81036,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
81037,0,0,0,0,0,0,0,0,0,0,0
81038,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL
81039,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
81040,0,0,0,0,0,0,0,0,0,0,0
81041,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
81042,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
81043,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL
81044,1,1,1,1,1,1,NULL,NULL,NULL,NULL,NULL
81045,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
81046,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
81047,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
81048,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
81049,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
81050,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
81052,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
