class_id,predictions_0.01,predictions_0.5,predictions_0.55,predictions_0.6,predictions_0.65,predictions_0.7,predictions_0.75,predictions_0.8,predictions_0.85,predictions_0.9,predictions_0.95
120028,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
120029,0,0,0,0,0,0,0,0,0,0,0
120030,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
120031,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
120032,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
120033,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL
120034,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
120035,0,0,0,0,0,0,0,0,0,NULL,NULL
120036,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
120037,0,0,0,0,0,0,0,0,0,0,0
120038,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
120039,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
120040,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
120041,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
120042,0,0,0,0,0,0,0,0,0,0,0
120043,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
120044,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
120045,0,0,0,0,0,0,0,0,0,0,NULL
120046,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
120047,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL
120048,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL
120049,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL
120050,0,0,0,0,0,0,0,0,0,0,0
120051,0,0,0,0,0,0,0,0,NULL,NULL,NULL
120052,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
120053,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
120054,0,0,0,0,0,0,0,0,0,0,0
120055,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
120056,0,0,0,0,0,0,0,0,0,0,0
120057,0,0,0,0,0,0,0,0,0,0,0
120058,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL
120059,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL
120060,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
120061,1,1,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
120062,0,0,0,0,0,0,0,0,0,0,0
120063,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
120064,-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
120065,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
120066,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL
120067,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
120068,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
